tomaszowski;3,8;7,8; £ÓDZKIE
wieluñski;2,0;6,2; £ÓDZKIE
wieruszowski;1,0;4,9; £ÓDZKIE
zduñskowolski;1,8;7,0; £ÓDZKIE
zgierski;4,0;6,4; £ÓDZKIE
brzeziñski;0,9;7,5; £ÓDZKIE
m. £ódŸ;20,9;6,0; £ÓDZKIE
m. Piotrków Trybunalski;2,0;6,1; £ÓDZKIE
m. Skierniewice;1,1;6,4; £ÓDZKIE
bocheñski;1,7;4,1;MA£OPOLSKIE
brzeski;2,0;5,4;MA£OPOLSKIE
chrzanowski;3,3;7,8;MA£OPOLSKIE
d¹browski;2,6;11,0;MA£OPOLSKIE
gorlicki;2,8;6,1;MA£OPOLSKIE
krakowski;5,9;5,3;MA£OPOLSKIE
limanowski;4,4;7,6;MA£OPOLSKIE
miechowski;1,1;4,9;MA£OPOLSKIE
myœlenicki;1,9;3,8;MA£OPOLSKIE
nowos¹decki;7,1;9,0;MA£OPOLSKIE
nowotarski;5,0;7,2;MA£OPOLSKIE
olkuski;3,5;7,5;MA£OPOLSKIE
oœwiêcimski;3,5;6,7;MA£OPOLSKIE
proszowicki;1,0;5,4;MA£OPOLSKIE
suski;2,1;6,2;MA£OPOLSKIE
tarnowski;5,1;7,0;MA£OPOLSKIE
tatrzañski;2,4;8,2;MA£OPOLSKIE
wadowicki;4,2;6,9;MA£OPOLSKIE
wielicki;2,8;5,2;MA£OPOLSKIE
m. Kraków;15,7;3,1;MA£OPOLSKIE
m. Nowy S¹cz;1,9;3,9;MA£OPOLSKIE
m. Tarnów;3,0;5,4;MA£OPOLSKIE
bia³obrzeski;1,2;8,6;MAZOWIECKIE
ciechanowski;3,2;9,4;MAZOWIECKIE
garwoliñski;4,0;9,4;MAZOWIECKIE
gostyniñski;2,4;13,7;MAZOWIECKIE
grodziski;1,4;3,7;MAZOWIECKIE
grójecki;1,3;2,7;MAZOWIECKIE
kozienicki;2,6;10,9;MAZOWIECKIE
legionowski;2,9;8,2;MAZOWIECKIE
lipski;1,7;10,6;MAZOWIECKIE
³osicki;0,8;5,0;MAZOWIECKIE
makowski;3,0;16,1;MAZOWIECKIE
miñski;3,3;6,5;MAZOWIECKIE
m³awski;1,8;6,0;MAZOWIECKIE
nowodworski;2,2;6,6;MAZOWIECKIE
ostro³êcki;3,3;9,7;MAZOWIECKIE
ostrowski;2,8;9,4;MAZOWIECKIE
otwocki;2,4;4,8;MAZOWIECKIE
piaseczyñski;3,6;4,0;MAZOWIECKIE
p³ocki;4,3;11,4;MAZOWIECKIE
p³oñski;3,7;10,4;MAZOWIECKIE
pruszkowski;2,8;3,5;MAZOWIECKIE
przasnyski;2,0;9,5;MAZOWIECKIE
przysuski;3,3;17,1;MAZOWIECKIE
pu³tuski;2,7;13,0;MAZOWIECKIE
radomski;9,7;17,6;MAZOWIECKIE
siedlecki;1,5;4,8;MAZOWIECKIE
sierpecki;2,9;15,3;MAZOWIECKIE
sochaczewski;1,7;4,7;MAZOWIECKIE
soko³owski;1,4;6,0;MAZOWIECKIE
szyd³owiecki;3,5;23,7;MAZOWIECKIE
warszawski zachodni;1,5;2,2;MAZOWIECKIE
wêgrowski;1,9;7,0;MAZOWIECKIE
